Name,City,WiFi Rating,Noise Rating,Photo URL,Latitude,Longitude
Chapel Coffee Campus,Murrieta CA,Available,Low,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpJDkMvQ273whT1XoMv9GP_j1OECRO6ImrvrhCiQ95Gk6Qyv7WTKAk2yEXtbAOF72ZNV4TO2sTb_gghog-cWzj2xIiWqiMqjngPlNCJHExuhxN_aAwEM9m_E2HeSCxZz-SLyUWdg=s1360-w1360-h1020-rw,33.5515,-117.2135
The Liquid Leaf,Murrieta CA,Available,Medium,,33.5538,-117.213
The Crafted Scone,Murrieta CA,Available,Low,,33.552,-117.212
Intazza Coffee Works,Murrieta CA,Strong,Low,,33.549,-117.21
Rival Coffee Co,Murrieta CA,Available,Medium,,33.554,-117.214
The Press Espresso,Murrieta CA,Fast,Low,,33.55,-117.211
Abode Coffee,Murrieta CA,Available,Low,,33.551,-117.2125
Good Coffee Co,Murrieta CA,Available,Medium,,33.553,-117.2135
Le Coffee Shop,Murrieta CA,Available,Low,,33.5525,-117.2128
Rise to Grind,Murrieta CA,Available,Medium,,33.5545,-117.2145
Murrieta Public Library,Murrieta CA,Available,Low,,33.5512,-117.2132
Glen Arbor Park,Murrieta CA,Free,Variable,,33.545,-117.2
California Oaks Sports Park,Murrieta CA,Free,Variable,,33.56,-117.22
Town Square Park,Murrieta CA,Free,Variable,,33.551,-117.213
Coworking Connection Murrieta,Murrieta CA,Strong,Low,,33.54,-117.19
Wildomar Executive Offices,Murrieta CA,Strong,Low,,33.6,-117.25
M.C. Strauss Company,Murrieta CA,Strong,Medium,,33.53,-117.18
